4;16;2;1;28;3;40
2;1;2;60;7;1;7
4;16;2;1;28;3;40
4;16;2;1;28;3;40
2;1;2;60;7;1;7
4;16;2;1;28;3;40
2;1;2;60;7;1;7
4;16;2;1;28;3;40
2;1;2;60;7;1;7
4;16;2;1;28;3;40
2;1;2;60;7;1;7
2;1;2;60;7;1;7
2;3;2;2;6;4;4
2;3;2;2;4;4;4
2;3;2;2;4;4;4
2;3;2;2;4;4;4
2;3;2;2;4;4;4
2;3;2;2;4;4;4
2;1;62;3;10;4;110
2;1;62;3;10;4;110
2;1;62;3;10;4;110
2;1;62;3;10;4;110
2;1;62;3;10;4;110
2;1;62;3;10;4;110
2;1;62;3;10;4;110
2;1;62;3;10;4;110
2;1;1;1;9;1;93
2;1;1;1;9;1;93
4;16;2;1;28;3;40
4;16;2;1;28;3;40
2;1;1;1;9;1;93
2;1;1;1;9;1;93
2;1;1;1;9;4;12
2;1;1;1;9;4;12
2;1;62;3;10;4;110
2;1;62;3;10;4;110
2;1;2;60;7;1;7
2;1;2;60;7;1;7
2;1;2;60;7;1;7
2;1;2;60;7;1;7
2;3;2;2;4;4;4
2;1;2;60;7;1;7
2;3;2;2;4;4;4
2;1;62;3;10;4;110
2;1;2;2;10;4;9
2;1;2;2;10;4;9
10;3;4;97;12;1;39
2;1;2;60;7;1;7
